"target_gene_source_value","drug_source_value","interaction_source_value"
"IGF1R","MECASERMIN","c(""agonist"", ""inhibitor"")"
"IGF1R","PL-225B","inhibitor"
"IGF1R","TEPROTUMUMAB","c(""antagonist"", ""inhibitor"")"
"IGF1R","MECASERMIN RINFABATE","agonist"
"IGF1R","ACETYLCYSTEINE","[Not Available]"
"IGF1R","RALOXIFENE","[Not Available]"
"IGF1R","STAUROSPORINE","[Not Available]"
"IGF1R","ERLOTINIB","[Not Available]"
"ATP2A3","CELECOXIB","[Not Available]"
"ERBB3","MM-121","c(""antagonist"", ""antibody"")"
"ERBB3","SERIBANTUMAB","antibody"
"ERBB3","SAPITINIB","inhibitor"
"ERBB3","SPIRONOLACTONE","[Not Available]"
"ERBB3","RABEPRAZOLE","[Not Available]"
"ERBB3","AFATINIB","[Not Available]"
"ERBB3","DULIGOTUZUMAB","antibody"
"ERBB3","AV-203","antibody"
"ERBB3","OSIMERTINIB MESYLATE","inhibitor"
"ERBB3","DACOMITINIB","inhibitor"
"ERBB3","Patritumab","inhibitor"
"ERBB3","AMG-888","antibody"
"ERBB3","MOMELOTINIB","inhibitor"
"ERBB3","MARGETUXIMAB","[Not Available]"
"ERBB3","AC-480","[Not Available]"
"ERBB3","CIMAGLERMIN ALFA","[Not Available]"
"ERBB3","VANDETANIB","inhibitor"
"ERBB3","Poziotinib","inhibitor"
"ERBB3","GEFITINIB","inhibitor"
"ERBB3","LAPATINIB","[Not Available]"
"ERBB3","PERTUZUMAB","[Not Available]"
"ERBB3","TRASTUZUMAB","[Not Available]"
"ERBB3","CETUXIMAB","[Not Available]"
"ERBB3","SELUMETINIB","[Not Available]"
"ERBB3","CP-724714","[Not Available]"
"CST3","DIGOXIN","[Not Available]"
"CST3","RIBAVIRIN","[Not Available]"
"REG3A","VOLANESORSEN SODIUM","[Not Available]"
"MYB","PHORBOL MYRISTATE ACETATE","[Not Available]"
"MYB","FLUOROURACIL","[Not Available]"
"MYB","DOXORUBICIN","[Not Available]"
"MYB","ETRETINATE","[Not Available]"
"MYB","PACLITAXEL","[Not Available]"
"DAPP1","CHEMBL23552","[Not Available]"
"MAPKAPK3","CHEMBL226471","[Not Available]"
"MAPKAPK3","CHEMBL226403","inhibitor"
"CD44","HYALURONIC ACID","[Not Available]"
"CD44","INTERFERON GAMA-1B","[Not Available]"
"CD44","MOMETASONE FUROATE","[Not Available]"
"CD44","GENTAMICIN","[Not Available]"
"CD44","MYCOPHENOLIC ACID","[Not Available]"
"CD44","STAUROSPORINE","[Not Available]"
"MAN2A1","TRIDOLGOSIR","[Not Available]"
"MAN2A1","KIFUNENSINE","[Not Available]"
"CCBL2","L-GLUTAMATE","[Not Available]"
"CCBL2","PYRIDOXAL PHOSPHATE","cofactor"
"MAGEA1","DECITABINE","[Not Available]"
"MAGEA1","CYTARABINE","[Not Available]"
"GRIK1","TEZAMPANEL","antagonist"
"GRIK1","L-GLUTAMATE","[Not Available]"
"GRIK1","TOPIRAMATE","antagonist"
"GRIK1","CHEMBL121915","agonist"
"GRIK1","CHEMBL301536","agonist"
"GRIK1","CHEMBL426","agonist"
"GRIK1","CHEMBL113180","agonist"
"GRIK1","DOMOIC ACID","agonist"
"GRIK1","CHEMBL28472","agonist"
"GRIK1","KAINIC ACID","agonist"
"GRIK1","MESALAMINE","agonist"
"GRIK1","2S,4R-4-METHYLGLUTAMATE","agonist"
"GRIK1","METHYPRYLON","allosteric modulator"
"GRIK1","CHEMBL373429","antagonist"
"GRIK1","CHEMBL274226","antagonist"
"GRIK1","CHEMBL156717","antagonist"
"GRIK1","CHEMBL373428","antagonist"
"GRIK1","CHEMBL372797","antagonist"
"GRIK1","CHEMBL387049","[Not Available]"
"GRIK1","DASOLAMPANEL","antagonist"
"GRIK1","Selurampanel","antagonist"
"GABRE","CLORAZEPIC ACID","[Not Available]"
"GABRE","TALBUTAL","positive allosteric modulator"
"GABRE","TEMAZEPAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","ADINAZOLAM","potentiator"
"GABRE","HALAZEPAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","DIAZEPAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","OXAZEPAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","TRIAZOLAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","ESTAZOLAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","PICROTOXIN","channel blocker"
"GABRE","T-BUTYLBICYCLOPHOSPHOROTHIONATE","channel blocker"
"GABRE","BROMAZEPAM","potentiator"
"GABRE","CLOTIAZEPAM","potentiator"
"GABRE","FLUDIAZEPAM","potentiator"
"GABRE","KETAZOLAM","potentiator"
"GABRE","PRAZEPAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","QUAZEPAM","c(""potentiator"", ""positive allosteric modulator"")"
"GABRE","CINOLAZEPAM","potentiator"
"GABRE","NITRAZEPAM","potentiator"
"GABRE","METHOXYFLURANE","[Not Available]"
"GABRE","FLUMAZENIL","[Not Available]"
"GABRE","CLORAZEPATE DIPOTASSIUM","positive allosteric modulator"
"GABRE","CHLORDIAZEPOXIDE","positive allosteric modulator"
"GABRE","CHLORDIAZEPOXIDE HYDROCHLORIDE","positive allosteric modulator"
"GABRE","ESZOPICLONE","positive allosteric modulator"
"GABRE","MEPROBAMATE","agonist"
"GABRE","BUTALBITAL","positive allosteric modulator"
"GABRE","DESFLURANE","positive allosteric modulator"
"GABRE","GLUTETHIMIDE","[Not Available]"
"GABRE","ACAMPROSATE CALCIUM","[Not Available]"
"GABRE","LORAZEPAM","positive allosteric modulator"
"GABRE","ENFLURANE","[Not Available]"
"GABRE","METHARBITAL","positive allosteric modulator"
"GABRE","METHYPRYLON","positive allosteric modulator"
"GABRE","PRIMIDONE","positive allosteric modulator"
"GABRE","PROPOFOL","positive allosteric modulator"
"GABRE","PENTOBARBITAL","positive allosteric modulator"
"GABRE","PENTOBARBITAL SODIUM","positive allosteric modulator"
"GABRE","SECOBARBITAL SODIUM","positive allosteric modulator"
"GABRE","THIAMYLAL SODIUM","positive allosteric modulator"
"GABRE","ETOMIDATE","[Not Available]"
"GABRE","FLURAZEPAM HYDROCHLORIDE","positive allosteric modulator"
"GABRE","HALOTHANE","positive allosteric modulator"
"GABRE","ISOFLURANE","positive allosteric modulator"
"GABRE","TOPIRAMATE","[Not Available]"
"GABRE","PF-06372865","agonist"
"GABRE","ALPRAZOLAM","positive allosteric modulator"
"GABRE","CLOBAZAM","positive allosteric modulator"
"GABRE","FLURAZEPAM","[Not Available]"
"GABRE","MIDAZOLAM","[Not Available]"
"GABRE","ADIPIPLON","[Not Available]"
"GABRE","MIDAZOLAM HYDROCHLORIDE","positive allosteric modulator"
"GABRE","CLONAZEPAM","positive allosteric modulator"
"GABRE","THIOPENTAL SODIUM","positive allosteric modulator"
"GABRE","TRICLOFOS SODIUM","[Not Available]"
"GABRE","SEVOFLURANE","positive allosteric modulator"
"GABRE","BUTABARBITAL SODIUM","positive allosteric modulator"
"GABRE","ETHCHLORVYNOL","[Not Available]"
"GABRE","METHOHEXITAL SODIUM","positive allosteric modulator"
"GABRE","ETAZOLATE","[Not Available]"
"GABRE","GABOXADOL","[Not Available]"
"GABRE","OCINAPLON","[Not Available]"
"LAMA1","OCRIPLASMIN","[Not Available]"
"CACNA1H","BEPRIDIL HYDROCHLORIDE","blocker"
"CACNA1H","PREGABALIN","modulator"
"CACNA1H","GABAPENTIN ENACARBIL","modulator"
"CACNA1H","MIBEFRADIL DIHYDROCHLORIDE","blocker"
"CACNA1H","ISRADIPINE","inhibitor"
"CACNA1H","CINNARIZINE","inhibitor"
"CACNA1H","ZONISAMIDE","inhibitor"
"CACNA1H","FELODIPINE","inhibitor"
"CACNA1H","NITRENDIPINE","inhibitor"
"CACNA1H","NIFEDIPINE","inhibitor"
"CACNA1H","BEPRIDIL","inhibitor"
"CACNA1H","MIBEFRADIL","inhibitor"
"CACNA1H","FLUNARIZINE","inhibitor"
"CACNA1H","GABAPENTIN","modulator"
"CACNA1H","PARAMETHADIONE","blocker"
"CACNA1H","METHSUXIMIDE","blocker"
"CACNA1H","TRIMETHADIONE","blocker"
"CACNA1H","PHENSUXIMIDE","blocker"
"CACNA1H","CELECOXIB","[Not Available]"
"CACNA1H","IMAGABALIN","modulator"
"CACNA1H","ETHOSUXIMIDE","blocker"
"CACNA1H","ATAGABALIN","modulator"
"TNNT3","TIRASEMTIV","activator"
"SIRT5","NIACINAMIDE","[Not Available]"
"SIRT5","SURAMIN","inhibitor"
"KCNH7","MICONAZOLE","inhibitor"
"KCNH7","DALFAMPRIDINE","blocker"
"KCNH7","GUANIDINE HYDROCHLORIDE","blocker"
"KCNH7","NERISPIRDINE","blocker"
"KCNH7","TEDISAMIL","blocker"
"CYP2D6","FLUOXETINE","[Not Available]"
"CYP2D6","FLECAINIDE","[Not Available]"
"CYP2D6","PROPRANOLOL","[Not Available]"
"CYP2D6","PALIPERIDONE","[Not Available]"
"CYP2D6","TERBINAFINE","[Not Available]"
"CYP2D6","ARFORMOTEROL","[Not Available]"
"CYP2D6","CEVIMELINE","[Not Available]"
"CYP2D6","CITALOPRAM","[Not Available]"
"CYP2D6","CLOMIPRAMINE","[Not Available]"
"CYP2D6","DEXTROMETHORPHAN","[Not Available]"
"CYP2D6","ESCITALOPRAM","[Not Available]"
"CYP2D6","FLIBANSERIN","[Not Available]"
"CYP2D6","ILOPERIDONE","[Not Available]"
"CYP2D6","PAROXETINE","[Not Available]"
"CYP2D6","RUCAPARIB","[Not Available]"
"CYP2D6","CORTICOTROPIN","[Not Available]"
"CYP2D6","ALBUMIN HUMAN","[Not Available]"
"CYP2D6","AMPHETAMINE","[Not Available]"
"CYP2D6","ERLOTINIB","[Not Available]"
"CYP2D6","GINKGO","[Not Available]"
"CYP2D6","HYPERICIN","[Not Available]"
"CYP2D6","METHYLPHENIDATE","[Not Available]"
"CYP2D6","MEXILETINE","[Not Available]"
"CYP2D6","MODAFINIL","[Not Available]"
"CYP2D6","STREPTOZOTOCIN","[Not Available]"
"CYP2D6","TACROLIMUS","[Not Available]"
"CYP2D6","VORICONAZOLE","[Not Available]"
"CYP2D6","PROTRIPTYLINE","[Not Available]"
"CYP2D6","GALANTAMINE","[Not Available]"
"CYP2D6","FLUPENTIXOL","[Not Available]"
"CYP2D6","CODEINE","[Not Available]"
"CYP2D6","GLUTETHIMIDE","inducer"
"CYP2D6","TETRABENAZINE","[Not Available]"
"CYP2D6","ATOMOXETINE","[Not Available]"
"CYP2D6","ARIPIPRAZOLE","[Not Available]"
"CYP2D6","VENLAFAXINE","[Not Available]"
"CYP2D6","OLANZAPINE","[Not Available]"
"CYP2D6","SPARTEINE","[Not Available]"
"CYP2D6","PERHEXILINE","[Not Available]"
"CYP2D6","DEBRISOQUIN","[Not Available]"
"CYP2D6","CARVEDILOL","[Not Available]"
"CYP2D6","MIRTAZAPINE","[Not Available]"
"CYP2D6","MAPROTILINE","[Not Available]"
"CYP2D6","RISPERIDONE","[Not Available]"
"CYP2D6","TRIMIPRAMINE","[Not Available]"
"CYP2D6","DESIPRAMINE","[Not Available]"
"CYP2D6","PERPHENAZINE","[Not Available]"
"CYP2D6","PIMOZIDE","[Not Available]"
"CYP2D6","MIANSERIN","[Not Available]"
"CYP2D6","ACETAMINOPHEN","[Not Available]"
"CYP2D6","CHLORPROMAZINE","[Not Available]"
"CYP2D6","TIOTROPIUM BROMIDE","[Not Available]"
"CYP2D6","DOXEPIN","[Not Available]"
"CYP2D6","NORTRIPTYLINE","[Not Available]"
"CYP2D6","GARLIC","[Not Available]"
"CYP2D6","CELECOXIB","[Not Available]"
"CYP2D6","CLOZAPINE","[Not Available]"
"CYP2D6","DESLORATADINE","[Not Available]"
"CYP2D6","HYDROXYCHLOROQUINE","[Not Available]"
"CYP2D6","GEFITINIB","[Not Available]"
"CYP2D6","YOHIMBINE","[Not Available]"
"CYP2D6","TOLTERODINE","[Not Available]"
"CYP2D6","ZUCLOPENTHIXOL","[Not Available]"
"CYP2D6","QUININE SULFATE","[Not Available]"
"CYP2D6","THIORIDAZINE","[Not Available]"
"CYP2D6","BREXPIPRAZOLE","[Not Available]"
"CYP2D6","DARIFENACIN","[Not Available]"
"CYP2D6","FESOTERODINE","[Not Available]"
"CYP2D6","FLUVOXAMINE","[Not Available]"
"CYP2D6","IMIPRAMINE","[Not Available]"
"CYP2D6","METOPROLOL","[Not Available]"
"CYP2D6","VALBENAZINE","[Not Available]"
"CYP2D6","AMITRIPTYLINE","[Not Available]"
"CYP2D6","DULOXETINE","[Not Available]"
"CYP2D6","ELIGLUSTAT","[Not Available]"
"CYP2D6","NEBIVOLOL","[Not Available]"
"CYP2D6","NEFAZODONE","[Not Available]"
"CYP2D6","ONDANSETRON","[Not Available]"
"CYP2D6","PALONOSETRON","[Not Available]"
"CYP2D6","PROPAFENONE","[Not Available]"
"CYP2D6","TRAMADOL","[Not Available]"
"CYP2D6","VORTIOXETINE","[Not Available]"
"SLC39A14","NORTRIPTYLINE","[Not Available]"
"GRIK4","TEZAMPANEL","antagonist"
"GRIK4","L-GLUTAMATE","[Not Available]"
"GRIK4","DOMOIC ACID","agonist"
"GRIK4","DYSIHERBAINE","agonist"
"GRIK4","KAINIC ACID","agonist"
"GRIK4","MESALAMINE","agonist"
"GRIK4","2S,4R-4-METHYLGLUTAMATE","agonist"
"GRIK4","TOPIRAMATE","antagonist"
"GRIK4","Selurampanel","antagonist"
"NOS2","ARGININE","[Not Available]"
"NOS2","L-CITRULLINE","[Not Available]"
"NOS2","MICONAZOLE","inhibitor"
"NOS2","CHEMBL457530","[Not Available]"
"NOS2","CHEMBL479014","[Not Available]"
"NOS2","1400W","inhibitor"
"NOS2","7-NITROINDAZOLE","[Not Available]"
"NOS2","ETHYLISOTHIOUREA","[Not Available]"
"NOS2","PIMAGEDINE HYDROCHLORIDE","inhibitor"
"NOS2","CHEMBL107528","[Not Available]"
"NOS2","CHEMBL54277","[Not Available]"
"NOS2","CHEMBL260629","[Not Available]"
"NOS2","CHEMBL293212","[Not Available]"
"NOS2","CHEMBL93247","[Not Available]"
"NOS2","CHEMBL165372","[Not Available]"
"NOS2","FENOXAPROP-ETHYL","[Not Available]"
"NOS2","CHEMBL376632","[Not Available]"
"NOS2","CHEMBL114500","[Not Available]"
"NOS2","CHEMBL1221702","[Not Available]"
"NOS2","CHEMBL243978","[Not Available]"
"NOS2","CHEMBL232827","[Not Available]"
"NOS2","CHEMBL390674","[Not Available]"
"NOS2","CHEMBL1221660","[Not Available]"
"NOS2","CHEMBL420671","[Not Available]"
"NOS2","CHEMBL1221659","[Not Available]"
"NOS2","CHEMBL447183","[Not Available]"
"NOS2","CHEMBL275339","[Not Available]"
"NOS2","CHEMBL1221657","[Not Available]"
"NOS2","TRIFLUSAL","agonist"
"NOS2","N (g)-NITRO-L-ARGININE","inhibitor"
"NOS2","NILOTINIB","inhibitor"
"NOS2","CHEMBL107201","inhibitor"
"NOS2","CAPTOPRIL","[Not Available]"
"NOS2","ESTROGENS, CONJUGATED","[Not Available]"
"NOS2","DIAZOXIDE","[Not Available]"
"NOS2","DIMETHYL SULFOXIDE","[Not Available]"
"NOS2","GONADOTROPIN, CHORIONIC","[Not Available]"
"NOS2","FLUOXETINE","[Not Available]"
"NOS2","NIMODIPINE","[Not Available]"
"NOS2","ESTRADIOL","[Not Available]"
"NOS2","PROPOFOL","[Not Available]"
"NOS2","THEOPHYLLINE","[Not Available]"
"NOS2","BEVACIZUMAB","[Not Available]"
"NOS2","TILARGININE","[Not Available]"
"NOS2","DOXYCYCLINE","inhibitor"
"NOS2","THIOUREA","[Not Available]"
"NOS2","HYDROCORTISONE","inhibitor"
"FURIN","CHEMBL566340","inhibitor"
"FURIN","DECANOIC ACID","[Not Available]"
"FURIN","PIRFENIDONE","[Not Available]"
"SLC25A5","CLODRONATE DISODIUM","inhibitor"
"SLC25A5","SODIUM BUTYRATE","[Not Available]"
"SLC25A5","TRICHOSTATIN","[Not Available]"
"NCOA3","TAMOXIFEN","[Not Available]"
"PSMD1","BORTEZOMIB","inhibitor"
"PSMD1","IXAZOMIB CITRATE","inhibitor"
"PSMD1","CARFILZOMIB","inhibitor"
"PSMD1","OPROZOMIB","inhibitor"
"COL4A5","ATACIGUAT","activator"
"COL4A5","CHEMBL353759","activator"
"COL4A5","CHEMBL1236936","activator"
"COL4A5","ISOSORBIDE DINITRATE","activator"
"COL4A5","ISOSORBIDE MONONITRATE","activator"
"COL4A5","LATANOPROSTENE BUNOD","activator"
"COL4A5","NITROGLYCERIN","activator"
"COL4A5","RIOCIGUAT","activator"
"COL4A5","CHEMBL598952","inhibitor"
"COL4A5","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","[Not Available]"
"COL4A5","OCRIPLASMIN","[Not Available]"
"TMEM43","CARBOQUONE","[Not Available]"
"SSTR2","SPIRONOLACTONE","agonist"
"SSTR2","LANREOTIDE ACETATE","agonist"
"SSTR2","OCTREOTIDE","c(""agonist"", ""binder"")"
"SSTR2","VAPREOTIDE","c(""agonist"", ""inducer"")"
"SSTR2","PASIREOTIDE","agonist"
"SSTR2","LANREOTIDE","c(""agonist"", ""binder"")"
"SSTR2","VALINOMYCIN","agonist"
"SSTR2","ALPRAZOLAM","agonist"
"SSTR2","ALENDRONIC ACID","agonist"
"SSTR2","CHEMBL410596","agonist"
"SSTR2","CORTISTATIN-14","agonist"
"SSTR2","URAPIDIL","agonist"
"SSTR2","CHEMBL420060","agonist"
"SSTR2","CHEMBL421362","agonist"
"SSTR2","CHEMBL2052017","agonist"
"SSTR2","SEGLITIDE","agonist"
"SSTR2","UNDECYLENIC ACID","agonist"
"SSTR2","ALDOSTERONE","agonist"
"SSTR2","SOMATOSTATIN","agonist"
"SSTR2","CHEMBL442494","agonist"
"SSTR2","TYRPHOSTIN 1","agonist"
"SSTR2","PASIREOTIDE PAMOATE","agonist"
"SSTR2","LONAPALENE","antagonist"
"SSTR2","OCTREOTIDE ACETATE","agonist"
"SSTR2","PASIREOTIDE DIASPARTATE","agonist"
"GPR183","CHEMBL169046","agonist"
"GPR183","NITRENDIPINE","agonist"
"GPR183","CHEMBL497834","agonist"
"PTEN","PROGESTERONE","[Not Available]"
"PTEN","OLAPARIB","[Not Available]"
"PTEN","GSK-2636771","inhibitor"
"PTEN","AZD-8186","[Not Available]"
"PTEN","LY-3023414","[Not Available]"
"PTEN","PALBOCICLIB","[Not Available]"
"PTEN","GEDATOLISIB","[Not Available]"
"PTEN","AZD-5363","[Not Available]"
"PTEN","ENZALUTAMIDE","[Not Available]"
"PTEN","ERLOTINIB","[Not Available]"
"PTEN","GEFITINIB","[Not Available]"
"PTEN","PANITUMUMAB","[Not Available]"
"PTEN","EVEROLIMUS","[Not Available]"
"PTEN","TEMSIROLIMUS","[Not Available]"
"PTEN","COPANLISIB","[Not Available]"
"PTEN","OMIPALISIB","[Not Available]"
"PTEN","DACTOLISIB","[Not Available]"
"PTEN","CETUXIMAB","[Not Available]"
"PTEN","VANDETANIB","[Not Available]"
"PTEN","ALPELISIB","[Not Available]"
"PTEN","ZSTK-474","[Not Available]"
"PTEN","DS-7423","[Not Available]"
"PTEN","PF-04691502","[Not Available]"
"PTEN","VOXTALISIB","[Not Available]"
"PTEN","SIROLIMUS","[Not Available]"
"PTEN","TRASTUZUMAB","[Not Available]"
"PTEN","BUPARLISIB","[Not Available]"
"PTEN","CARBOPLATIN","[Not Available]"
"PTEN","PACLITAXEL","[Not Available]"
"PTEN","LY-294002","[Not Available]"
"PTEN","CHEMBL387187","[Not Available]"
"PTEN","IPATASERTIB","[Not Available]"
"PTEN","CI-1040","[Not Available]"
"PTEN","MK-2206","[Not Available]"
"PTEN","BAY-1125976","[Not Available]"
"PTEN","VEMURAFENIB","[Not Available]"
"PTEN","NIVOLUMAB","[Not Available]"
"PTEN","PEMBROLIZUMAB","[Not Available]"
"PTEN","METFORMIN","[Not Available]"
"PTEN","Refametinib","[Not Available]"
"PTEN","ARQ-092","[Not Available]"
"PTEN","SELUMETINIB","[Not Available]"
"PTEN","AZD-6482","[Not Available]"
"PTEN","KX2-391","[Not Available]"
"PTEN","E-6201","[Not Available]"
"PTEN","GSK-2256098","[Not Available]"
